x,y,theta,energy_used_mean,energy_used_max,efficiency_mean,efficiency_max,fitness,attachment_length_max,attachment_length_mean,attachment_length_std,joint_brick_ratio,symmetry_incl_sum,symmetry_excl_sum,coverage,branching,surface
-0.008564744194569101,-0.019470675248941506,-113.74369341912033,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.00822975089216552,-0.019224795283062014,-113.17479998298931,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.008236275705732744,-0.01928150609682331,-113.13020407820957,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.010767905517715766,-0.02431591635699675,-113.8853736370309,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.012421825821261572,-0.02634877364063284,-115.24099379873746,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.010820946234039524,-0.026237268193332525,-112.41255139711193,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.01325106744132852,-0.028985944469852132,-114.56774351590913,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.015593752088681705,-0.030230430494356322,-117.28602504296394,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.016543445591629034,-0.02850308134291171,-120.13126616897534,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.016941801971493878,-0.02907784765665229,-120.22661933968244,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.019684007005318256,-0.03107623770652901,-122.3505881071773,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.016541758955795773,-0.029653050806498455,-119.15467503932561,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.017046613830527656,-0.030573948538379494,-119.14200774285294,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.018744910765483944,-0.03160700227014561,-120.67056730730957,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
-0.017146986775627357,-0.030829391915542653,-119.08235621383744,39.75435732194989,57.19893809280739,4.066344341234547e-05,0.002200782844788726,0.33477719645895826,1.0,1.0,0,1.0,1.5142857142857142,1.5142857142857142,0.3125,0.0,0.3893129770992366
