x,y,theta
0.1873200427476164,-0.5634490190332154,-71.61048369308226
0.18781613739324865,-0.5648696724483264,-71.60831037349325
0.17024810135009794,-0.6079183272459733,-74.35504691168948
0.17366226659624281,-0.6117140423023979,-74.15104602459425
0.17961072209440765,-0.6062705267892444,-73.49780968798396
0.2172609073754567,-0.6576256931486014,-71.71790765788174
0.20042993675364246,-0.6393650021435089,-72.59468878588807
0.20931457052945557,-0.639506492285783,-71.87639689191342
0.2345751751045868,-0.697509951276465,-71.41201755448644
0.25584710095580776,-0.6835582511472065,-69.47976869187798
0.2634555242671524,-0.683246053398323,-68.91366402421122
0.30499031738358645,-0.734095819529653,-67.43887892407312
0.2938133740151572,-0.7300446673416746,-68.07721431848303
0.2967321422344757,-0.7168459538458579,-67.51331653411228
0.3030314878455571,-0.7185152515395746,-67.13257199484606
0.3014014959723401,-0.72216270778896,-67.34631721836439
0.30417603565330015,-0.7210210872139591,-67.12665426132259
0.3021607374799993,-0.72188577907684,-67.28720900471538
0.3004714165455081,-0.7259659560178338,-67.5157335199051
0.3044030373825321,-0.7300037849182306,-67.36443467477068
0.30279256801569515,-0.7300711381728628,-67.47406756752835
0.301529891454824,-0.7325412924335382,-67.62687114374738
0.3011843731498618,-0.7337727659749157,-67.6838110546155
0.2988052830188119,-0.7345887936768996,-67.86521065006552
0.2969277006002098,-0.7413451816990994,-68.17263584346
0.3047328808264512,-0.7388060342889432,-67.585483450827
0.31560702033756916,-0.7435186558520478,-66.9998644763999
0.3171682552956106,-0.752707116839324,-67.15089826621872
0.31874646608264384,-0.7502486696141768,-66.98157319051798
0.3177331408709059,-0.7505308508410057,-67.05489518705957
0.312740552469686,-0.755161562567442,-67.50373088569718
0.3210016648166398,-0.7573830728955,-67.03131223553741
0.32796497616753506,-0.7699143505966606,-66.9271630494001
0.3305838051721215,-0.7864512255480944,-67.20060978344479
0.32714253424919554,-0.79065699835086,-67.52216679878717
0.32668985473226925,-0.8040917170601886,-67.88886395073979
0.3265054762379188,-0.8160588113548375,-68.19363046323636
0.3303777996142662,-0.8039452135204097,-67.6600010369077
0.32522998708496115,-0.8090821398148481,-68.10115513595595
0.32628075799550676,-0.8173663620510636,-68.23883487218099
0.32574294396395903,-0.8204167055363042,-68.34465935098409
0.3135522406653527,-0.8220874315440779,-69.12265639475447
0.3157637488711819,-0.8371727172442993,-69.33459107186641
0.325567361154063,-0.8391783582948436,-68.79575515703087
0.33861934551594547,-0.8521358691109938,-68.32825646759493
0.34367214484107145,-0.8651951782153254,-68.33607342076694
0.3447223832394561,-0.8638753485882352,-68.24593391129596
0.33878212383164713,-0.864344920735101,-68.597181306481
0.33918566784586235,-0.867628988730748,-68.6477819419288
0.3420714582386986,-0.8684891417746715,-68.50202816532489
0.3424215954140877,-0.8659189185425662,-68.42402593125266
0.3430611752147131,-0.8706045322924648,-68.49311077495803
0.3441585691236028,-0.86829289430757,-68.37849216274093
0.3443430686292072,-0.8701006189241393,-68.40877491972681
0.3432091595155543,-0.8791192254769782,-68.67426909510885
0.3461381720990252,-0.8748893637053172,-68.41443989108049
0.34364849325571506,-0.8776309103891476,-68.61648735400095
0.3440980655171175,-0.8906588269455868,-68.876406926842
0.34427883787772323,-0.8867389435918921,-68.78116103081787
0.34472598545894906,-0.884978444051357,-68.71757528248946
0.34698411509488053,-0.8953171496704638,-68.81593978001324
0.34923963700100413,-0.8935840522429042,-68.65294063751945
0.34716515123694247,-0.8904090401254647,-68.69948762150118
0.34917203131644764,-0.8921456333449818,-68.62539199758574
0.3515966461314396,-0.8902035113906278,-68.44785865209069
0.36086956572807505,-0.8859332558634033,-67.83732643887893
0.3662707776759446,-0.8897672311643046,-67.62558935612546
0.3653589325701885,-0.8868654594724896,-67.60997579376861
0.3653006732214998,-0.8864138778186206,-67.60291527184116
0.3645537276448927,-0.8931554290807516,-67.79649445272827
0.3653324703336843,-0.8883051902046942,-67.64414902929377
0.36413990746329,-0.8890850112002732,-67.72761142120825
0.3637805967215499,-0.8960179508077539,-67.90299528962493
0.3681173812133573,-0.8926579082259383,-67.58955770467009
0.3838831643905084,-0.9103060039532898,-67.13446656589541
