x,y,theta
0.7592642386083435,0.15476565448855154,11.521128513062882
0.7339675270948859,0.1421393172967531,10.960163801211635
0.7192566897192455,0.18783072787775584,14.635681499697217
0.7002728301799663,0.23726049570209531,18.716971863307624
0.669801957477168,0.21321196810159862,17.657360618500036
0.6558229108885468,0.2405220566757791,20.14043542297333
0.6643910591075494,0.3224002912433738,25.885296500001303
0.6347142393624893,0.30524000812743485,25.683336006036686
0.5948265309995872,0.3342871774838055,29.33559631050006
0.5862804365316702,0.4048918144456694,34.62939148518648
0.5107853366139431,0.3804306735708442,36.67857888700966
0.4452914704974566,0.3784874688935339,40.36376857424584
0.41391719332802623,0.4142228968402552,45.02115043148544
0.33797994190469716,0.3620391085173299,46.968441158270025
0.29000882344545553,0.3477336482451916,50.17199468139866
0.240004994805042,0.3834846927123111,57.9594908502302
0.1948289943165165,0.35692366156763083,61.37180702064618
0.17116782860881816,0.3561203656510352,64.32891969704566
0.15412364588993893,0.3968247747572832,68.77421851766789
0.14423603494593418,0.4019402626267957,70.259504354182
0.12408839580621667,0.3962793119919327,72.61290477744745
0.1326821054708691,0.39230833334889603,71.31401397107717
0.10592089038432098,0.35884047893927506,73.55469484751964
0.08886380357319783,0.3368719442082539,75.22251493238394
0.10152745941196376,0.33599128471924145,73.18660606517042
0.10067586646788737,0.3203663322204566,72.55455240232044
0.10734835279290136,0.30413974269325666,70.55914195516898
0.1161515710939967,0.31742026885268504,69.90123402452866
0.11888403454346282,0.3332151446646256,70.36468730533672
0.11993555918857675,0.3246388494979329,69.72360087390099
0.12694183325944677,0.34273696272234394,69.67653719485587
0.10852032807359852,0.34762797985711064,72.66300693819942
0.09646519264208944,0.33142952607083226,73.77194401777994
0.10415972487173523,0.3347536111587304,72.71629241058861
0.09157818561508752,0.32409351894370114,74.22145045494185
0.0880901600308495,0.3177071570900331,74.5029863042245
0.09564628549100775,0.3487674527915801,74.66419413854932
0.09056377280733152,0.3466106436206815,75.35690246969274
0.06934567428904262,0.3583350313236119,79.04740044358165
0.08617965666199981,0.37890604334126643,77.18643892658254
0.08772228462894782,0.35349281037424257,76.06309721420752
0.08512346358348044,0.33497943030274374,75.74204248635904
0.10090520015095435,0.3439672796236581,73.6505812881747
0.08723758804336858,0.3442422914425503,75.7795263479008
0.07519162371204835,0.3597899226572597,78.19578972628234
0.09469343998997297,0.3572939716254438,75.1561940347316
0.09767435476560635,0.33144101849479163,73.57996360214479
0.10586628233861706,0.3591964014697026,73.57812521146418
0.10239891136569969,0.39341269088874375,75.41055921412008
0.10377134403948336,0.40150376195171394,75.50863955943994
0.1276174594250476,0.4442239493264481,73.97160439555647
0.13507075337315877,0.45037992972411306,73.30580085748218
0.11831576183322194,0.4645570838131949,75.71139093029646
0.12820087804655375,0.49049755488060276,75.35233459097464
0.13014485246333224,0.5020542855376524,75.46740236538926
0.12224682384450154,0.5187623951417507,76.74011202926708
0.12929979570704556,0.5494384364085628,76.75748773151413
0.14180744091665737,0.5770657992239215,76.19377451125493
0.1593379353763356,0.6056054897954962,75.25926244790188
0.179700205922828,0.6241364335880959,73.93793014915505
0.21335148790158617,0.6584806675925484,72.04738026870018
0.19577493980575197,0.7197461744747967,74.78337825812756
